eco,name,urlName,pgn,mdx
A02,"Bird Opening: From's Gambit, Lipke Variation",bird-opening-froms-gambit-lipke-variation,1. f4 e5 2. fxe5 d6 3. exd6 Bxd6 4. Nf3 Nh6 5. d4,
A02,Bird Opening: Hobbs Gambit,bird-opening-hobbs-gambit,1. f4 g5,
A02,Bird Opening: Hobbs-Zilbermints Gambit,bird-opening-hobbs-zilbermints-gambit,1. f4 h6 2. Nf3 g5,
A02,Bird Opening: Horsefly Defense,bird-opening-horsefly-defense,1. f4 Nh6,
A02,Bird Opening: Lasker Gambit,bird-opening-lasker-gambit,1. f4 e5 2. fxe5 f6,
A02,Bird Opening: Mujannah,bird-opening-mujannah,1. f4 Nf6 2. c4,
A02,Bird Opening: Myers Defense,bird-opening-myers-defense,1. f4 b5,
A02,Bird Opening: Platz Gambit,bird-opening-platz-gambit,1. f4 e5 2. fxe5 Ne7,
A02,Bird Opening: Schlechter Gambit,bird-opening-schlechter-gambit,1. f4 e5 2. fxe5 Nc6,
A02,Bird Opening: Siegener Gambit,bird-opening-siegener-gambit,1. f4 e5 2. d4 exd4 3. Nf3 c5 4. c3,
A02,Bird Opening: Swiss Gambit,bird-opening-swiss-gambit,1. f4 f5 2. e4 fxe4 3. Nc3 Nf6 4. g4,
A02,Bird Opening: Wagner-Zwitersch Gambit,bird-opening-wagner-zwitersch-gambit,1. f4 f5 2. e4,
A03,Bird Opening: Dutch Variation,bird-opening-dutch-variation,1. f4 d5,
A03,"Bird Opening: Dutch Variation, Dudweiler Gambit",bird-opening-dutch-variation-dudweiler-gambit,1. f4 d5 2. g4,
A03,Bird Opening: Lasker Variation,bird-opening-lasker-variation,1. f4 d5 2. Nf3 Nf6 3. e3 c5,
A03,Bird Opening: Sturm Gambit,bird-opening-sturm-gambit,1. f4 d5 2. c4,
A03,Bird Opening: Thomas Gambit,bird-opening-thomas-gambit,1. f4 d5 2. b3 Nf6 3. Bb2 d4 4. Nf3 c5 5. e3,
A03,Bird Opening: Williams Gambit,bird-opening-williams-gambit,1. f4 d5 2. e4,
A03,Bird Opening: Williams Gambit,bird-opening-williams-gambit,1. f4 d5 2. e4 dxe4 3. Nc3 Nf6 4. Qe2,
A03,Bird Opening: Williams-Zilbermints Gambit,bird-opening-williams-zilbermints-gambit,1. f4 d5 2. e4 dxe4 3. Nc3 Nf6 4. Nge2,
A04,Colle System: Rhamphorhynchus Variation,colle-system-rhamphorhynchus-variation,1. Nf3 c5 2. e3 g6 3. d4 Bg7 4. dxc5 Qa5+,
A04,"Modern Defense: Semi-Averbakh Variation, Polish Variation",modern-defense-semi-averbakh-variation-polish-variation,1. Nf3 c5 2. c4 g6 3. d4 Bg7 4. e4 Qb6,
A04,"Modern Defense: Semi-Averbakh Variation, Pterodactyl Variation",modern-defense-semi-averbakh-variation-pterodactyl-variation,1. Nf3 c5 2. c4 g6 3. d4 Bg7 4. e4 Qa5+,
A04,"Modern Defense: Semi-Averbakh Variation, Pterodactyl Variation Accepted",modern-defense-semi-averbakh-variation-pterodactyl-variation-accepted,1. Nf3 g6 2. d4 Bg7 3. e4 d6 4. c4 c5 5. dxc5 Qa5+,
A04,Zukertort Defense: Kingside Variation,zukertort-defense-kingside-variation,1. Nf3 Nh6 2. d4 g6,
A04,Zukertort Defense: Sicilian Knight Variation,zukertort-defense-sicilian-knight-variation,1. Nf3 Na6 2. e4 c5,
A04,Zukertort Opening,zukertort-opening,1. Nf3,
A04,Zukertort Opening: Arctic Defense,zukertort-opening-arctic-defense,1. Nf3 f6,
A04,"Zukertort Opening: Arctic Defense, Drunken Knight Variation",zukertort-opening-arctic-defense-drunken-knight-variation,1. Nf3 f6 2. e4 Nh6 3. d4 Nf7,
A04,Zukertort Opening: Basman Defense,zukertort-opening-basman-defense,1. Nf3 h6,
A04,Zukertort Opening: Black Mustang Defense,zukertort-opening-black-mustang-defense,1. Nf3 Nc6,
A04,Zukertort Opening: Drunken Cavalry Variation,zukertort-opening-drunken-cavalry-variation,1. Nf3 Na6 2. e4 Nh6,
A04,Zukertort Opening: Dutch Variation,zukertort-opening-dutch-variation,1. Nf3 f5,
A04,Zukertort Opening: Herrstrom Gambit,zukertort-opening-herrstrom-gambit,1. Nf3 g5,
A04,Zukertort Opening: Kingside Fianchetto,zukertort-opening-kingside-fianchetto,1. Nf3 g6,
A04,Zukertort Opening: Lisitsyn Gambit,zukertort-opening-lisitsyn-gambit,1. Nf3 f5 2. e4,
A04,Zukertort Opening: Lisitsyn Gambit Deferred,zukertort-opening-lisitsyn-gambit-deferred,1. Nf3 f5 2. d3 Nf6 3. e4,
A04,Zukertort Opening: Pirc Invitation,zukertort-opening-pirc-invitation,1. Nf3 d6,
A04,Zukertort Opening: Polish Defense,zukertort-opening-polish-defense,1. Nf3 b5,
A04,Zukertort Opening: Queen's Gambit Invitation,zukertort-opening-queens-gambit-invitation,1. Nf3 e6,
A04,Zukertort Opening: Queenside Fianchetto Variation,zukertort-opening-queenside-fianchetto-variation,1. Nf3 b6,
A04,Zukertort Opening: Ross Gambit,zukertort-opening-ross-gambit,1. Nf3 e5,
A04,Zukertort Opening: Shabalov Gambit,zukertort-opening-shabalov-gambit,1. Nf3 e6 2. c4 a6 3. Nc3 c5 4. g3 b5,
A04,Zukertort Opening: Sicilian Invitation,zukertort-opening-sicilian-invitation,1. Nf3 c5,
A04,Zukertort Opening: Slav Invitation,zukertort-opening-slav-invitation,1. Nf3 c6,
A04,Zukertort Opening: Speelsmet Gambit,zukertort-opening-speelsmet-gambit,1. Nf3 c5 2. d4 cxd4 3. e3,
A04,Zukertort Opening: St. George Defense,zukertort-opening-st-george-defense,1. Nf3 a6,
A04,Zukertort Opening: The Walrus,zukertort-opening-the-walrus,1. Nf3 e5 2. Nxe5 Nc6 3. Nxc6 dxc6,
A04,Zukertort Opening: Vos Gambit,zukertort-opening-vos-gambit,1. Nf3 d6 2. d4 e5,
A04,Zukertort Opening: Wade Defense,zukertort-opening-wade-defense,1. Nf3 d6 2. e4 Bg4,
A04,Zukertort Opening: Ware Defense,zukertort-opening-ware-defense,1. Nf3 a5,
A05,King's Indian Attack,kings-indian-attack,1. Nf3 Nf6 2. g3 d5,
A05,King's Indian Attack: Smyslov Variation,kings-indian-attack-smyslov-variation,1. Nf3 Nf6 2. g3 g6 3. b4,
A05,King's Indian Attack: Spassky Variation,kings-indian-attack-spassky-variation,1. Nf3 Nf6 2. g3 b5,
A05,King's Indian Attack: Symmetrical Defense,kings-indian-attack-symmetrical-defense,1. Nf3 Nf6 2. g3 g6,
A05,King's Indian Attack: Wahls Defense,kings-indian-attack-wahls-defense,1. Nf3 Nf6 2. g3 g6 3. Bg2 Bg7 4. O-O O-O 5. d3 d5,
A05,Polish Opening: Zukertort System,polish-opening-zukertort-system,1. Nf3 Nf6 2. b4,
A05,Zukertort Opening,zukertort-opening,1. Nf3 Nf6,
A05,Zukertort Opening,zukertort-opening,1. Nf3 Nf6 2. Nc3 Nc6,
A05,Zukertort Opening: Double Fianchetto Attack,zukertort-opening-double-fianchetto-attack,1. Nf3 Nf6 2. g3 g6 3. b3 Bg7 4. Bb2 O-O 5. Bg2 d6 6. O-O,
A05,Zukertort Opening: Lemberger Gambit,zukertort-opening-lemberger-gambit,1. Nf3 Nf6 2. e4,
A05,Zukertort Opening: Myers Polish Attack,zukertort-opening-myers-polish-attack,1. Nf3 Nf6 2. a4 g6 3. b4,
A05,Zukertort Opening: Nimzo-Larsen Variation,zukertort-opening-nimzo-larsen-variation,1. Nf3 Nf6 2. b3,
A05,Zukertort Opening: Quiet System,zukertort-opening-quiet-system,1. Nf3 Nf6 2. e3,
A06,Nimzo-Larsen Attack: Classical Variation,nimzo-larsen-attack-classical-variation,1. Nf3 d5 2. b3,
A06,Nimzo-Larsen Attack: Norfolk Gambit,nimzo-larsen-attack-norfolk-gambit,1. Nf3 d5 2. b3 c5 3. e4,
A06,Nimzo-Larsen Attack: Norfolk Gambit,nimzo-larsen-attack-norfolk-gambit,1. Nf3 d5 2. b3 Nf6 3. Bb2 c5 4. e4,
A06,Zukertort Opening,zukertort-opening,1. Nf3 d5,
A06,Zukertort Opening: Ampel Variation,zukertort-opening-ampel-variation,1. Nf3 d5 2. Rg1,
A06,Zukertort Opening: Old Indian Attack,zukertort-opening-old-indian-attack,1. Nf3 d5 2. d3,
